SYMBOL,DATE,qnty_per_trade,avg_qnty_per_trade,deliv_qty,avg_deliv_qty,trade_qty_deviation,delivery_qty_deviation,F&O,NIFTY_500,ROC_RS_7,ROC_RS_14,AD_Count,DD_Count,NA_Count,vwap_positive_7days,vwap_negative_7days,vwap_positive_14days,vwap_negative_14days
ARVINDFASN,2024-12-31,22,20.0,164029,298683.0,10.0,-45.0,N,N,-1.809955,0.462963,2,7,16,4,3,5,8
ARVSMART,2024-12-31,11,9.0,18951,20748.0,20.0,-8.0,N,N,-3.926702,-4.92228,3,6,16,2,5,6,8
ASAHIINDIA,2024-12-31,11,9.0,51539,30683.0,12.0,67.0,N,Y,0.623053,2.866242,7,2,16,6,1,10,4
ASAHISONG,2024-12-31,17,20.0,1459,8900.0,-12.0,-83.0,N,N,3.896104,-7.514451,4,5,16,3,4,4,10
ASAL,2024-12-31,11,9.0,9804,9514.0,20.0,3.0,N,N,-2.120141,-6.418919,4,7,14,0,7,2,12
ASALCBR,2024-12-31,14,12.0,50691,24901.0,18.0,103.0,N,N,1.965066,6.136364,8,4,13,3,4,9,5
ASHAPURMIN,2024-12-31,68,65.0,94335,241455.0,4.0,-60.0,N,N,-2.366864,-12.234043,8,3,14,2,5,4,10
ASHIANA,2024-12-31,31,31.0,83062,94966.0,-1.0,-12.0,N,N,3.521127,10.526316,9,6,10,2,5,5,9
ASHOKA,2024-12-31,74,73.0,827663,1038909.0,2.0,-20.0,N,N,7.317073,10.92437,8,2,15,3,4,6,8
ASHOKLEY,2024-12-31,124,123.0,1586675,2352921.0,1.0,-32.0,Y,Y,1.086957,-1.06383,3,7,15,3,4,7,7
ASIANENE,2024-12-31,31,47.0,20481,174444.0,-32.0,-88.0,N,N,-2.469136,1.282051,8,2,15,2,5,5,9
ASIANPAINT,2024-12-31,12,13.0,374199,645507.0,-11.0,-42.0,Y,Y,-0.309917,-1.630989,2,7,16,1,6,5,9
ASIANTILES,2024-12-31,120,164.0,108026,361070.0,-26.0,-70.0,N,N,-3.448276,-6.666667,5,4,16,3,4,4,10
ASKAUTOLTD,2024-12-31,20,24.0,91739,125165.0,-19.0,-26.0,N,N,0.5,0.0,7,3,15,2,5,4,10
ASMS,2024-12-31,165,193.0,66625,153548.0,-14.0,-56.0,N,N,0.0,0.0,6,4,15,3,4,4,10
ASPINWALL,2024-12-31,23,37.0,17857,15550.0,-37.0,14.0,N,N,0.78125,0.78125,11,1,13,2,5,4,10
ASTEC,2024-12-31,11,36.0,7595,11675.0,-68.0,-34.0,N,N,-7.641921,-4.514673,2,5,18,3,4,6,8
ASTERDM,2024-12-31,19,28.0,291423,427786.0,-31.0,-31.0,N,Y,5.339806,9.59596,9,3,13,4,3,10,4
ASTRAL,2024-12-31,15,15.0,223765,208295.0,2.0,7.0,Y,Y,-4.897959,-7.047872,4,7,14,3,4,6,8
ASTRAMICRO,2024-12-31,10,16.0,40125,121802.0,-36.0,-67.0,N,N,-3.846154,-1.215805,5,4,16,3,4,4,10
ASTRAZEN,2024-12-31,4,2.0,13238,4903.0,64.0,169.0,N,Y,12.322792,15.040953,3,7,15,6,1,10,4
