TICKER,NSE CODE,GOOGLE CODE,LAST PRICE,ATM STRIKE,ATM CE VALUE,ATM PE VALUE,UPPER BAND CONS,LOWER BAND CONS,COMBINED PREMIUM,% PREMIUM
Astral Limited (XNSE:ASTRAL),ASTRAL,NSE:ASTRAL,1663.5,1660.0,49.05,44.65,1753.7,1566.3,93.7,5.63%
Adani Total Gas Limited (XNSE:ATGL),ATGL,NSE:ATGL,682.1,680.0,33.0,31.0,744.0,616.0,64.0,9.38%
Atul Limited (XNSE:ATUL),ATUL,NSE:ATUL,7114.95,7100.0,237.0,111.0,7448.0,6752.0,348.0,4.89%
AU Small Finance Bank Limited (XNSE:AUBANK),AUBANK,NSE:AUBANK,554.4,555.0,16.1,16.45,587.55,522.45,32.55,5.87%
Aurobindo Pharma Limited (XNSE:AUROPHARMA),AUROPHARMA,NSE:AUROPHARMA,1276.4,1280.0,33.8,36.7,1350.5,1209.5,70.5,5.52%
Axis Bank Limited (XNSE:AXISBANK),AXISBANK,NSE:AXISBANK,1085.75,1090.0,23.55,27.45,1141.0,1039.0,51.0,4.7%
Bajaj Auto Limited (XNSE:BAJAJ-AUTO),BAJAJ-AUTO,NSE:BAJAJ-AUTO,9003.7,9000.0,266.3,259.35,9525.65,8474.35,525.65,5.84%
Bajaj Finserv Limited (XNSE:BAJAJFINSV),BAJAJFINSV,NSE:BAJAJFINSV,1586.9,1580.0,42.25,34.65,1656.9,1503.1,76.9,4.85%
Bajaj Finance Limited (XNSE:BAJFINANCE),BAJFINANCE,NSE:BAJFINANCE,6948.2,6900.0,208.8,157.95,7266.75,6533.25,366.75,5.28%
Balkrishna Industries Limited (XNSE:BALKRISIND),BALKRISIND,NSE:BALKRISIND,2876.55,2880.0,85.0,140.25,3105.25,2654.75,225.25,7.83%
Bandhan Bank Limited (XNSE:BANDHANBNK),BANDHANBNK,NSE:BANDHANBNK,161.61,162.5,5.65,6.45,174.6,150.4,12.1,7.49%
Bank of Baroda (XNSE:BANKBARODA),BANKBARODA,NSE:BANKBARODA,246.4,247.5,6.75,7.6,261.85,233.15,14.35,5.82%
